"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes","change"
"H3C2",21.3238763737064,3.09261640390302,0.488531644538697,6.33043209887308,2.44475587237669e-10,7.71352365854919e-09,"H3C2","Up"
"CALML5",2656.57005067795,3.07738632153642,0.934886234235385,3.2917227881244,0.000995757115154212,0.00460724957488592,"CALML5","Up"
"H1-3",53.0673052892681,3.07164087471146,0.445175766965131,6.89983845179078,5.20617096628473e-12,2.36717678371774e-10,"H1-3","Up"
"NXPH4",1475.00221380595,3.06430181348924,0.56847858752326,5.39035573325593,7.03183472288346e-08,1.23019812480764e-06,"NXPH4","Up"
"LINC02416",16.7247166076963,3.06417789129963,0.47908292324648,6.39592384244336,1.59579531232296e-10,5.26380337384783e-09,"LINC02416","Up"
"RBP4",737.643740462207,3.0525384285427,0.718452545799539,4.24876833743508,2.14949062265924e-05,0.000179788192145154,"RBP4","Up"
"ISG15",6424.1007932742,3.02756145898319,0.397466461843863,7.61714949467234,2.59338921235038e-14,1.82361500350623e-12,"ISG15","Up"
"PGLYRP4",525.070584627064,3.00618826539874,0.697746274157078,4.30842610952012,1.64420387182208e-05,0.000143409358858636,"PGLYRP4","Up"
"TNS4",30443.6739955332,3.00207574093034,0.522188217938365,5.7490300198322,8.97568821870757e-09,1.95014294208135e-07,"TNS4","Up"
"IGHGP",6605.32716386745,2.99114891357999,0.703934622390041,4.24918567497683,2.14549031407384e-05,0.000179536371208153,"IGHGP","Up"
"CDA",2022.9133253517,2.98969465149591,0.526146867690321,5.68224356180255,1.32939155149662e-08,2.76505463906981e-07,"CDA","Up"
"PTHLH",5124.17090837594,2.9823222422852,0.69850688051156,4.26956745236506,1.95852414514789e-05,0.000166190575497068,"PTHLH","Up"
"AL031668.2",200.488956442258,2.97555740075588,0.635543821957577,4.68190752227075,2.84217702406479e-06,3.14983357181328e-05,"AL031668.2","Up"
"KRT15",23603.9731346036,2.96768683933561,0.665820900675363,4.45718486206334,8.30429868874854e-06,8.03073490465224e-05,"KRT15","Up"
"CST6",360.794777306498,2.96334927823384,0.614606064500803,4.8215425284499,1.42452341335468e-06,1.75030964256188e-05,"CST6","Up"
"AC018629.1",1398.9479418933,2.95215898522235,0.52848412315594,5.58608831537453,2.32241164948192e-08,4.52558454832449e-07,"AC018629.1","Up"
"ALOXE3",505.618092801627,2.95136300266383,0.584807171598636,5.04672847050755,4.49439371491721e-07,6.33053499813883e-06,"ALOXE3","Up"
"CHST1",887.20234113804,2.95013217378343,0.452899775024014,6.51387423106362,7.3236824597869e-11,2.63623506320345e-09,"CHST1","Up"
"SIX1",581.505854434151,2.94992402521954,0.448547974207045,6.57660762025399,4.81302674050035e-11,1.80782466099705e-09,"SIX1","Up"
"LINC01748",595.20510535076,2.94360395377505,0.462938639962038,6.3585186019824,2.03708719449858e-10,6.5179604731205e-09,"LINC01748","Up"
"IL13RA2",145.390118424748,2.93263615404233,0.540653938936413,5.42423894998616,5.82019806845887e-08,1.03621229988205e-06,"IL13RA2","Up"
"MFAP2",1230.9435900118,2.93227515407778,0.399989111444769,7.33088744212648,2.28633633561134e-13,1.3689344488667e-11,"MFAP2","Up"
"TNFRSF11B",762.708114226809,2.92387462629505,0.562839020463139,5.19486837264606,2.04864737369907e-07,3.18206854911375e-06,"TNFRSF11B","Up"
"PCSK9",2652.80661019146,2.91552274544835,0.450908174065765,6.46589020367398,1.00704181270503e-10,3.49326052889e-09,"PCSK9","Up"
"KRT16",76740.9690702743,2.90917738138871,0.786921450558379,3.69690949372957,0.00021824010384337,0.00128632617411514,"KRT16","Up"
